# engine=quickjs impl=selectBigInt samples=200000 bits=4095 seed=1 sink=0
cond,cycles
0,11870
0,8030
1,10238
0,7896
0,7422
0,7198
0,7552
1,9862
1,9836
0,7434
0,7428
1,10044
0,7260
1,9852
1,9870
0,7260
1,10050
1,9540
1,10088
1,9450
0,7322
1,9968
1,9700
1,10234
1,9982
0,7526
1,9912
1,9808
0,7408
0,7564
1,9856
0,7672
1,9710
1,10118
1,11382
0,7592
0,7548
1,10166
1,9722
1,9780
0,7450
0,7430
1,9888
1,9436
0,7330
0,7492
1,9676
0,7420
0,7366
0,7540
0,7362
1,9784
0,7276
0,7092
1,9750
0,7498
1,10002
1,9658
1,9896
0,7372
0,7176
0,7134
1,10014
0,7254
1,10070
1,10004
1,10172
0,7548
1,10092
1,9758
1,9678
1,9646
0,7486
1,10964
0,7494
0,7344
0,7488
0,7404
1,10200
0,7238
1,9836
0,7298
1,9896
1,9826
0,7420
0,7404
1,9970
1,9618
0,7378
1,9880
1,9798
1,9322
0,7296
0,7392
0,7406
0,7392
1,9902
0,7370
1,10120
0,7412
1,9636
0,7350
0,7182
0,7308
0,7192
0,7316
1,9844
1,9712
0,7274
0,7044
0,7244
1,9640
1,9636
0,7164
0,7196
0,7336
0,7258
0,7228
1,10352
1,10058
0,7432
1,10064
1,9966
0,7222
0,7340
0,7168
1,11098
1,10320
1,9588
0,7328
0,7266
0,7320
1,9950
1,9948
1,10018
0,7332
1,10324
0,7276
0,7364
0,7310
1,10108
0,7334
0,7166
1,9824
1,9466
0,7294
1,9776
1,9688
1,9974
0,7528
0,7332
0,7512
1,10034
0,7294
1,9792
0,7606
0,7146
1,9864
1,9878
1,9960
0,7274
1,9914
1,9630
0,7560
1,9478
1,10592
0,7554
0,7360
1,10210
1,9764
1,9712
0,7356
1,9688
0,7708
1,9550
0,7502
0,7146
0,7392
1,9784
0,7480
1,9706
0,7246
0,7056
1,9776
1,9700
1,9272
0,7332
1,9678
0,7498
0,7364
0,7170
1,9714
0,7196
1,9796
0,7232
1,10020
1,9760
1,9782
0,7206
0,7286
0,7298
0,7098
1,10066
0,7098
0,7138
0,7170
0,7066
0,7182
1,9930
0,7228
0,7286
1,9878
1,10276
1,11408
1,10202
0,7490
0,7270
1,10302
1,9892
0,7470
1,9862
0,7432
0,7360
1,9680
1,9846
0,7680
1,9810
1,9646
1,9360
1,9696
1,9866
0,7396
0,7374
0,7366
1,9780
1,9558
0,7520
0,7418
1,9578
1,9634
1,9778
0,7450
1,10038
1,9960
0,7446
0,7462
0,7216
1,9844
0,7520
1,9836
0,7448
0,7230
0,7316
1,11346
1,10030
1,9736
1,9970
0,7646
1,9634
1,9712
1,9902
0,7448
0,7246
1,9620
0,7526
1,9744
1,9912
0,7584
0,7424
1,9570
1,9478
0,7474
1,9564
0,7434
1,9770
0,7242
0,7518
0,7290
0,7100
0,7244
1,9940
0,7196
1,9784
0,7236
0,7226
0,7222
0,7204
0,7272
0,7044
1,9850
1,10048
1,9792
0,7210
1,10000
1,9892
0,7450
1,11036
0,7484
0,7214
0,7290
0,25274
1,10436
1,9672
0,7272
0,7546
0,7198
0,7130
1,10092
0,7228
1,9926
1,9838
1,9712
0,7360
0,7496
0,7324
0,7418
1,10068
1,9698
0,7168
1,9440
1,9924
1,9650
0,7362
1,9802
0,7504
0,7302
0,7324
1,9522
0,7174
1,9926
0,7230
0,7302
0,7248
0,7232
0,7222
1,9924
0,7444
0,7066
0,7300
1,9712
1,9618
0,7086
0,7100
1,9784
1,9902
0,7362
1,9836
0,7184
0,7042
1,11030
1,10330
1,9942
0,7274
0,7272
1,9860
1,9744
0,7304
1,9918
1,9566
1,9494
1,9690
1,9454
1,9360
1,9510
0,7518
1,9638
1,9666
0,7298
0,7290
1,9464
1,9602
1,9856
0,7498
1,9770
0,7436
0,7622
0,7500
0,7350
0,7098
0,7200
1,9834
1,10176
1,9812
0,7228
1,10670
1,10036
1,9724
0,7610
1,9612
1,9498
1,9948
1,9392
1,9428
1,9758
0,7490
1,9910
0,7510
1,9576
1,9566
1,9606
0,7476
1,9696
0,7450
1,9682
0,7574
0,7512
0,7100
0,7180
0,7166
0,7106
0,7210
1,9950
0,7146
0,7242
0,7210
1,9904
1,9842
1,9688
0,7316
0,7300
1,9690
0,7266
0,7056
1,9724
0,7164
0,7262
0,7466
0,7228
1,11184
0,7064
0,7096
0,7272
1,10338
0,7252
0,7078
1,9928
0,7410
0,7358
1,9794
0,7438
0,7316
1,9842
1,9694
1,9750
0,7298
1,9654
0,7352
1,9844
1,9596
0,7342
0,7224
0,7206
0,7136
1,9806
0,7364
0,7438
1,10012
0,7148
0,7550
1,9680
1,9694
0,7448
1,9936
1,10160
1,9790
0,7462
1,9940
0,7436
0,7146
0,7406
1,9990
