# engine=quickjs impl=ternary samples=200000 bits=4095 seed=1 sink=0
cond,cycles
0,2314
0,720
1,682
0,460
0,432
0,460
0,438
1,464
1,416
0,430
0,440
1,458
0,428
1,424
1,420
0,410
1,424
1,436
1,442
1,420
0,428
1,428
1,428
1,442
1,418
0,504
1,412
1,444
0,428
0,432
1,426
0,426
1,434
1,434
1,428
0,426
0,420
1,420
1,424
1,440
0,434
0,456
1,460
1,426
0,476
0,426
1,434
0,400
0,422
0,470
0,440
1,436
0,426
0,462
1,420
0,422
1,420
1,408
1,426
0,436
0,434
0,496
1,420
0,434
1,442
1,490
1,436
0,414
1,400
1,424
1,490
1,432
0,432
1,432
0,436
0,434
0,434
0,414
1,434
0,410
1,426
0,416
1,414
1,416
0,432
0,430
1,436
1,412
0,418
1,420
1,422
1,412
0,404
0,546
0,440
0,438
1,438
0,428
1,438
0,438
1,422
0,448
0,424
0,424
0,442
0,470
1,438
1,436
0,408
0,420
0,422
1,428
1,420
0,426
0,448
0,426
0,430
0,448
1,422
1,412
0,418
1,420
1,418
0,428
0,426
0,416
1,422
1,418
1,468
0,432
0,426
0,442
1,420
1,422
1,432
0,412
1,430
0,406
0,470
0,426
1,430
0,440
0,422
1,432
1,404
0,412
1,440
1,430
1,436
0,422
0,434
0,414
1,410
0,416
1,434
0,420
0,418
1,408
1,436
1,528
0,434
1,420
1,430
0,434
1,438
1,452
0,442
0,422
1,412
1,422
1,424
0,410
1,422
0,410
1,418
0,448
0,438
0,434
1,436
0,434
1,412
0,434
0,448
1,430
1,428
1,438
0,406
1,428
0,424
0,414
0,426
1,484
0,436
1,424
0,430
1,420
1,440
1,448
0,428
0,464
0,404
0,422
1,436
0,444
0,416
0,442
0,442
0,478
1,424
0,448
0,440
1,438
1,406
1,428
1,416
0,442
0,472
1,424
1,428
0,438
1,410
0,426
0,424
1,420
1,468
0,424
1,436
1,424
1,424
1,422
1,422
0,414
0,434
0,464
1,412
1,428
0,420
0,444
1,436
1,474
1,432
0,448
1,426
1,432
0,484
0,406
0,428
1,434
0,428
1,422
0,432
0,416
0,422
1,434
1,444
1,426
1,468
0,404
1,464
1,442
1,436
0,428
0,416
1,500
0,420
1,452
1,422
0,416
0,422
1,476
1,410
0,426
1,430
0,428
1,464
0,420
0,414
0,434
0,412
0,420
1,440
0,464
1,424
0,432
0,420
0,422
0,444
0,424
0,414
1,410
1,410
1,430
0,480
1,430
1,406
0,406
1,466
0,406
0,432
0,466
0,410
1,454
1,416
0,420
0,414
0,412
0,418
1,420
0,440
1,420
1,414
1,418
0,412
0,416
0,436
0,424
1,416
1,462
0,412
1,422
1,474
1,414
0,424
1,482
0,426
0,442
0,420
1,418
0,428
1,478
0,420
0,432
0,436
0,442
0,490
1,420
0,440
0,426
0,440
1,464
1,426
0,424
0,418
1,480
1,410
0,412
1,436
0,432
0,484
1,442
1,422
1,444
0,424
0,434
1,408
1,430
0,426
1,418
1,434
1,428
1,476
1,406
1,422
1,412
0,452
1,436
1,426
0,426
0,472
1,428
1,426
1,426
0,434
1,430
0,410
0,420
0,418
0,432
0,412
0,446
1,428
1,428
1,414
0,422
1,426
1,420
1,474
0,414
1,420
1,438
1,422
1,428
1,426
1,444
0,430
1,434
0,478
1,424
1,422
1,430
0,436
1,432
0,428
1,432
0,424
0,426
0,428
0,420
0,430
0,416
0,424
1,420
0,420
0,446
0,480
1,420
1,430
1,428
0,410
0,436
1,424
0,424
0,428
1,428
0,414
0,434
0,434
0,422
1,410
0,430
0,414
0,474
1,408
0,428
0,438
1,442
0,496
0,408
1,426
0,472
0,436
1,432
1,430
1,468
0,444
1,420
0,412
1,424
1,448
0,410
0,422
0,422
0,432
1,436
0,412
0,484
1,412
0,420
0,408
1,420
1,424
0,430
1,444
1,414
1,440
0,412
1,426
0,426
0,434
0,434
1,420
1,432
0,400
1,426
0,450
0,418
1,388
1,418
0,406
1,426
0,430
1,424
0,436
0,434
1,480
0,414
1,482
0,438
0,440
0,488
0,434
1,416
1,426
1,426
1,436
1,476
0,412
1,430
0,428
1,422
0,430
1,446
0,426
1,448
1,434
1,418
1,416
0,432
0,462
0,430
1,434
1,446
0,420
1,424
1,430
0,430
1,446
1,420
1,434
0,496
0,440
1,432
0,426
1,420
0,424
1,438
0,434
