# engine=v8 impl=selectBigInt samples=200000 bits=4095 seed=1 sink=0
cond,cycles
0,7944
0,1702
1,5366
0,1802
0,1128
0,1050
0,952
1,1544
1,1350
0,1058
0,896
1,1376
0,940
1,1352
1,1300
0,1092
1,1288
1,1378
1,1416
1,1322
0,916
1,1276
1,1316
1,1294
1,1376
0,948
1,1264
1,1264
0,1002
0,978
1,1388
0,1022
1,1260
1,1296
1,1286
0,978
0,954
1,1304
1,1332
1,1368
0,942
0,940
1,1322
1,1288
0,1064
0,918
1,1376
0,1042
0,988
0,1146
0,944
1,1298
0,898
0,934
1,1294
0,962
1,1328
1,1414
1,1294
0,922
0,962
0,1014
1,1352
0,948
1,1310
1,1446
1,1344
0,1004
1,1270
1,1306
1,1254
1,1260
0,1022
1,1556
0,918
0,980
0,954
0,916
1,1260
0,1078
1,1272
0,934
1,1364
1,1344
0,1024
0,946
1,4062
1,1346
0,914
1,1240
1,1320
1,1216
0,918
0,892
0,904
0,974
1,1246
0,976
1,1290
0,992
1,1282
0,964
0,890
0,902
0,888
0,910
1,1218
1,1278
0,920
0,970
0,946
1,1270
1,1262
0,1120
0,892
0,918
0,896
0,1022
1,1282
1,1260
0,918
1,1448
1,1242
0,998
0,966
0,914
1,1254
1,1280
1,1232
0,1096
0,912
0,942
1,1294
1,1282
1,1260
0,930
1,1258
0,1150
0,924
0,884
1,1260
0,918
0,936
1,1242
1,1324
0,1144
1,1260
1,1250
1,1318
0,902
0,922
0,928
1,1278
0,1162
1,1240
0,916
0,882
1,1224
1,1224
1,1260
0,932
1,1516
1,1412
0,896
1,1308
1,1266
0,928
0,916
1,1230
1,2182
1,1264
0,930
1,1296
0,934
1,1274
0,932
0,948
0,1066
1,1288
0,906
1,1264
0,928
0,926
1,1256
1,1246
1,2474
0,954
1,1392
0,908
0,896
0,924
1,1274
0,910
1,1500
0,966
1,1266
1,1248
1,1340
0,910
0,940
0,932
0,1152
1,1248
0,926
0,906
0,894
0,7554
0,1160
1,1270
0,1176
0,952
1,1246
1,1300
1,1232
1,1274
0,1014
0,910
1,1392
1,1248
0,928
1,1358
0,888
0,920
1,1284
1,1270
0,1126
1,1338
1,1280
1,1292
1,1242
1,1240
0,924
0,924
0,1124
1,1274
1,1298
0,904
0,908
1,1366
1,1242
1,1274
0,1124
1,1268
1,1256
0,908
0,924
0,902
1,1266
0,968
1,1506
0,928
0,980
0,908
1,1400
1,1342
1,1238
1,1228
0,1090
1,1238
1,1326
1,1254
0,1014
0,896
1,1214
0,886
1,1442
1,1322
0,910
0,896
1,1320
1,1252
0,916
1,1268
0,1170
1,1254
0,888
0,904
0,894
0,882
0,984
1,1240
0,2044
1,1244
0,322828
0,1666
0,954
0,1052
0,958
0,954
1,1708
1,1262
1,1252
0,914
1,1252
1,1228
0,910
1,1252
0,1126
0,900
0,886
0,914
1,1248
1,1254
0,914
0,896
0,1162
0,906
1,1240
0,914
1,1248
1,1332
1,1222
0,920
0,1426
0,900
0,916
1,1290
1,1204
0,886
1,1362
1,1246
1,1482
0,992
1,1250
0,988
0,910
0,920
1,1240
0,906
1,1518
0,914
0,888
0,1008
0,972
0,912
1,1246
0,894
0,1128
0,902
1,1232
1,1296
0,966
0,994
1,1330
1,1366
0,1112
1,1254
0,924
0,910
