# engine=v8 impl=ternary samples=200000 bits=4095 seed=1 sink=0
cond,cycles
0,4020
0,470
1,732
0,204
0,130
0,134
0,126
1,162
1,132
0,550
0,128
1,126
0,124
1,126
1,182
0,130
1,130
1,268
1,122
1,166
0,122
1,126
1,118
1,134
1,134
0,352
1,124
1,126
0,130
0,124
1,124
0,128
1,126
1,286
1,118
0,116
0,120
1,128
1,126
1,124
0,126
0,126
1,120
1,172
0,126
0,130
1,118
0,132
0,132
0,122
0,114
1,114
0,124
0,124
1,124
0,132
1,130
1,376
1,126
0,126
0,120
0,122
1,124
0,126
1,122
1,332
1,120
0,136
1,118
1,118
1,138
1,128
0,146
1,134
0,122
0,138
0,130
0,122
1,134
0,132
1,128
0,134
1,124
1,114
0,124
0,126
1,126
1,136
0,134
1,374
1,132
1,120
0,120
0,120
0,128
0,134
1,122
0,124
1,132
0,118
1,126
0,118
0,138
0,144
0,126
0,366
1,142
1,138
0,124
0,120
0,120
1,120
1,124
0,274
0,196
0,118
0,136
0,128
1,136
1,136
0,148
1,130
1,134
0,122
0,126
0,122
1,120
1,126
1,126
0,122
0,126
0,128
1,120
1,124
1,126
0,132
1,132
0,126
0,122
0,124
1,120
0,118
0,116
1,126
1,132
0,284
1,122
1,120
1,126
0,126
0,122
0,124
1,130
0,320
1,128
0,124
0,122
1,130
1,128
1,130
0,134
1,334
1,116
0,126
1,120
1,124
0,126
0,134
1,134
1,282
1,126
0,128
1,122
0,120
1,118
0,122
0,132
0,120
1,126
0,122
1,118
0,120
0,126
1,136
1,134
1,286
0,126
1,118
0,120
0,120
0,124
1,126
0,122
1,336
0,126
1,120
1,124
1,116
0,126
0,132
0,126
0,348
1,124
0,114
0,174
0,120
0,128
0,126
1,130
0,368
0,118
1,120
1,118
1,124
1,118
0,134
0,128
1,120
1,120
0,126
1,120
0,124
0,122
1,134
1,136
0,300
1,120
1,114
1,122
1,120
1,126
0,132
0,126
0,116
1,120
1,128
0,126
0,122
1,126
1,136
1,128
0,124
1,124
1,126
0,126
0,120
0,120
1,132
0,132
1,134
0,128
0,124
0,126
1,124
1,126
1,126
1,126
0,294
1,126
1,118
1,128
0,122
0,120
1,130
0,128
1,126
1,126
0,124
0,126
1,126
1,122
0,136
1,132
0,320
1,118
0,118
0,126
0,122
0,118
0,134
1,126
0,124
1,120
0,124
0,122
0,120
0,122
0,128
0,126
1,274
1,120
1,126
0,126
1,122
1,122
0,132
1,128
0,122
0,120
0,110
0,120
1,122
1,124
0,130
0,124
0,124
0,120
1,120
0,124
1,120
1,118
1,128
0,132
0,112
0,118
0,122
1,124
1,124
0,130
1,124
1,126
1,336
0,124
1,124
0,122
0,126
0,120
1,132
0,132
1,124
0,120
0,120
0,114
0,120
0,116
1,130
0,134
0,884
0,120
1,112
1,116
0,122
0,126
1,126
1,126
0,118
1,120
0,120
0,126
1,126
1,124
1,124
0,124
0,342
1,122
1,128
0,118
1,128
1,126
1,132
1,124
1,364
1,124
1,122
0,116
1,122
1,126
0,134
0,136
1,342
1,124
1,126
0,126
1,126
0,124
0,122
0,130
0,344
0,122
0,120
1,122
1,126
1,124
0,130
1,132
1,344
1,116
0,122
1,120
1,118
1,124
1,126
1,138
1,128
0,188
1,120
0,122
1,126
1,118
1,126
0,132
1,122
0,112
1,120
0,124
0,126
0,130
0,132
0,126
0,368
0,118
1,124
0,120
0,126
0,122
1,126
1,128
1,340
0,120
0,122
1,122
0,120
0,122
1,126
0,134
0,280
0,126
0,126
1,112
0,116
0,122
0,126
1,136
0,362
0,120
1,118
0,122
0,118
1,126
0,126
0,128
1,126
1,126
1,124
0,124
1,122
0,124
1,128
1,120
0,302
0,124
0,174
0,128
1,126
0,124
0,130
1,124
0,548
0,126
1,122
1,116
0,122
1,126
1,124
1,128
0,302
1,126
0,122
0,128
0,120
1,124
1,130
0,132
1,344
0,128
0,124
1,120
1,130
0,122
1,134
0,130
1,130
0,122
0,180
1,130
0,130
1,122
0,132
0,134
0,132
0,130
1,132
1,128
1,126
1,132
1,126
0,122
1,134
0,124
1,182
0,120
1,124
0,134
1,126
1,132
1,126
1,118
0,126
0,126
0,118
1,122
1,126
0,126
1,122
1,120
0,118
1,128
1,126
1,130
0,128
0,132
1,130
0,122
1,120
0,132
1,120
0,122
1,120
0,182
0,130
0,126
0,126
1,126
0,126
0,124
0,126
0,126
1,280
0,120
1,126
0,120
1,128
1,122
1,122
0,128
0,126
0,126
0,124
1,126
1,130
0,122
1,128
1,202
0,126
1,124
0,120
1,126
1,128
1,118
1,122
1,132
1,118
1,114
1,120
1,126
1,120
0,122
0,120
0,120
1,116
0,124
0,128
1,118
0,118
1,124
1,162
1,126
1,126
0,118
1,126
0,128
1,126
0,130
1,126
1,126
0,126
1,126
1,120
1,124
0,126
0,128
0,128
1,126
1,122
1,126
0,128
1,124
1,114
0,124
1,126
0,120
0,110
0,114
0,126
0,122
1,116
0,118
0,126
1,120
1,122
0,120
1,124
0,120
